"연번","어린이집명","어린이집유형","주소","정원","현원"
"1709","대남어린이집","민간","부산광역시 남구 유엔로183번길 30","49","49"
"1710","광양YMCA어린이집","민간","전라남도 광양시 세동길 17-8","108","108"
"1711","경북어린이집","민간","경상북도 포항시 남구 상공로134번길 10 (대도동)","70","37"
"1712","아기나라어린이집","민간","제주특별자치도 제주시 천수로13길 20-1 (일도이동)","49","47"
"1713","꼬마요정어린이집","가정","경기 시흥시 정왕2동 1394-2번지 영남4차아파트 관리동 2층","17","17"
"1714","양천어린이집","사회복지법인","경상북도 김천시 새터3길 32-18 사회복지법인 양천어린이집","63","38"
"1715","빛어린이집","민간","대전광역시 중구 돌다리로30번길 7-1","64","57"
"1716","한울어린이집","사회복지법인","강원도 강릉시 범일로 565-7","94","74"
"1717","아이원어린이집","민간","대전광역시 동구 동구청로 67 풍림아이원아파트 관리동 (가오동)","37","36"
"1718","숲속어린이집","민간","경기도 파주시 안산말길 25-26","79","66"
"1719","새별어린이집","가정","서울특별시 양천구 신정로 293 104동 111호(신정동, 신트리아파트)","15","15"
"1720","라라 어린이집","가정","인천광역시 계양구 도두리로 58 520동 101호(작전동, 도두리마을동남아파트)","15","12"
"1721","스마일어린이집","가정","서울특별시 강서구 강서로 254 우장산아이파크e편한세상114동103호 스마일어린이집","20","20"
"1722","하늘빛어린이집","가정","인천광역시 남동구 남동대로 860 107동 101호(간석동, 간석래미안자이)","20","20"
"1723","군포시립다솜어린이집","국공립","경기도 군포시 송부로291번길 30 102동 1층(부곡동, 휴먼시아1단지아파트)","30","28"
"1724","도촌제1어린이집","국공립","경기도 성남시 중원구 도촌남로 24 204동 (도촌동, 휴먼시아섬마을2단지)","25","25"
"1725","계룡상록어린이집","국공립","충청남도 계룡시 금암로 176","58","56"
"1726","동부참사랑어린이집","가정","경기도 용인시 기흥구 구성로 121 103동 105호(언남동, 하마비마을동부1차아파트)","20","20"
"1727","남목어린이집","국공립","울산광역시 동구 명덕6길 35 (서부동)","99","88"
"1728","화성어린이집","국공립","충청남도 청양군 화성면 무한로 149","40","26"
"1729","보배(영아전담)어린이집","민간","대구광역시 서구 통학로 194-3 (평리동)","49","47"
"1730","봉화어린이집","국공립","서울특별시 중랑구 봉화산로 165 신내12단지 아파트 내 신내종합사회복지관 1층","94","87"
"1731","고려어린이집","민간","강원도 철원군 동송읍 이평3로 150 고려어린이집","147","129"
"1732","혜인어린이집","가정","인천광역시 서구 가남로 161-8","16","16"
"1733","뉴수퍼키즈어린이집","민간","경기도 안양시 만안구 안양로329번길 37","26","15"
"1734","아이꿈어린이집","가정","경기도 광주시 벌원길 64-5 동보아파트 101동103호","19","15"
"1735","아이큰숲어린이집","가정","인천광역시 부평구 안남로 272 301동 103호(청천동, 금호타운2차)","19","19"
"1736","다예린어린이집","가정","충청남도 천안시 동남구 통정3로 68 101동 101호(신방동, 신방한성필하우스아파트)","20","20"
"1737","아기나무어린이집","가정","경기도 고양시 덕양구 성신로 77 1802동 103호(행신동, 햇빛마을18단지아파트)","18","18"
"1738","새가람어린이집","가정","경기도 화성시 동탄중앙로 99 517동 103호(반송동, 동탄새강마을휴먼시아아파트)","12","12"
"1739","장유캔캔영어어린이집","가정","경상남도 김해시 월산로 118 603동 102호(부곡동, 월산마을부영6단지아파트)","18","11"
"1740","우리꿈어린이집","가정","대전광역시 유성구 구즉로 25 312동 101호(송강동, 송강그린아파트)","19","17"
