"연번","어린이집명","어린이집유형","주소","정원","현원"
"11138","슬기어린이집","가정","경기도 성남시 수정구 산성대로595번길 5-5 대경아트빌 101호 (양지동)","20","17"
"11139","햇살좋은어린이집","가정","경상북도 포항시 남구 상공로221번길 4 (해도동)","20","17"
"11140","늘봄놀이방","가정","대구광역시 수성구 범어로26길 9 (범어동)","20","17"
"11141","아미어린이집","가정","서울특별시 중랑구 봉화산로56길 112 101동 102호(신내동, 경남아너스빌아파트)","19","19"
"11142","삼성어린이집","사회복지법인","제주특별자치도 서귀포시 성산읍 난산온평로 37","38","11"
"11143","꼬마별어린이집","가정","인천광역시 남동구 장아산로 157 106동 101호(서창동, 서창자이아파트)","20","20"
"11144","한신어린이집","가정","서울특별시 서초구 잠원로 37-6 205동 105호(잠원동, 신반포한신아파트)","20","20"
"11145","교하월드어린이집","민간","경기도 파주시 와석순환로 347 월드메르디앙1차관리동1층","32","28"
"11146","해돋이어린이집","민간","경상남도 거제시 옥포대첩로1길 25 미진빌라트 상가 (옥포동)","29","27"
"11147","아이존어린이집","민간","경기도 수원시 영통구 매영로45번길 15 매탄2동 199-4","129","106"
"11148","신당5동어린이집","국공립","서울특별시 중구 퇴계로88가길 8-10","173","147"
"11149","한라어린이집","민간","충청북도 청주시 청원구 오창읍 오창중앙로 94 한라비발디아파트 관리동","35","34"
"11150","남지어린이집","국공립","경상남도 창녕군 남지읍 동포7길 16","72","72"
"11151","왕의자녀들 어린이집","가정","경상남도 창원시 진해구 안청북로 42 108동 101호(용원동, 진해녹산현대아파트)","19","19"
"11152","아이맘어린이집","가정","전라북도 군산시 설림2길 33-1 101동 102호(금강골드빌아파트)","19","19"
"11153","태영어린이집","가정","경기도 고양시 덕양구 호국로742번길 38 607동 102호(성사동, 신원당마을)","20","18"
"11154","일곡꿈나무어린이집","가정","광주광역시 북구 일곡로 100 104동 105호(일곡동, 현대1차아파트)","15","3"
"11155","용궁어린이집","법인·단체등","경상북도 예천군 용궁면 용궁로 59","42","26"
"11156","시은소어린이집","가정","광주광역시 광산구 소촌로152번길 38 119동 103호(소촌동, 라인1차아파트)","14","8"
"11157","초록아트어린이집","민간","인천광역시 남구 인하로 210 (주안동)","82","73"
"11158","소망몬테소리어린이집","민간","경상북도 영덕군 영덕읍 서원길 11 소망몬테소리어린이집","39","20"
"11159","은계사임당어린이집","민간","경기도 시흥시 대은로103번길 19 가은빌딩 1층","28","25"
"11160","푸른솔어린이집","가정","서울특별시 노원구 동일로213길 21 105동 106호(상계동, 상계주공1차)","15","15"
"11161","아롱새미 어린이집","가정","경기도 수원시 장안구 정자로19번길 18 501동 101호(천천동, 일성아파트)","19","19"
"11162","소꿉 어린이집","가정","서울특별시 강남구 선릉로 8 215동 101호(개포동, 주공아파트)","13","12"
"11163","가람 어린이집","민간","경상남도 함안군 가야읍 도항2길 62","33","10"
"11164","꿈별어린이집","가정","서울특별시 강남구 양재대로55길 10 118동 106호(일원동, 수서1단지아파트)","17","17"
"11165","엄마품어린이집","가정","경기도 안성시 남파로 73-9 108동 103호(신소현동, 안성신소현코아루아파트)","20","20"
"11166","지구촌어린이집","민간","전라남도 목포시 임성로 55 (석현동)","92","39"
"11167","디모데어린이집","민간","서울특별시 영등포구 영등포로86길 17 (신길동)","39","32"
"11168","열린어린이집","가정","경기도 광명시 디지털로 64 108동 102호(철산동, 철산한신)","20","19"
"11169","더슬로우어린이집","가정","대구광역시 달서구 당산로 82 101동 102호(성당동, 두산위브)","19","19"
"11170","아이와뜰어린이집","가정","경기도 파주시 조리읍 대원로 45 동문그린씨티아파트 304동101호","20","18"
"11171","금광어린이집","가정","전라남도 광양시 공영로 10 103동 101호(중동, 금광아파트)","13","11"
"11172","아이엠어린이집","민간","경상북도 경산시 압량면 압독2로2길 17-6","89","74"
"11173","그린키즈어린이집","민간","인천광역시 서구 크리스탈로 148 한화꿈에그린아파트 관리동","45","45"
"11174","해피아이어린이집","가정","경기도 수원시 장안구 만석로68번길 10 595동 104호(정자동, 백설마을현대코오롱아파트)","17","17"
"11175","예현어린이집","가정","대구광역시 수성구 용학로 316 103동 107호(범물동, 범물영남1단지아파트)","20","20"
"11176","하늘빛 어린이집","가정","서울특별시 영등포구 영신로57길 5 101동 101호(당산동4가, 서초한강아파트)","19","19"
"11177","소리샘어린이집","가정","경기도 남양주시 화도읍 수레로 1234-13 두산2차아파트 209동103호","19","16"
"11178","슈퍼키즈어린이집","민간","경상남도 창원시 진해구 진해대로694번길 5-6","98","95"
"11179","동산어린이집","사회복지법인","강원도 춘천시 동산면 조양길 108-13 (동산면)","89","40"
"11180","YMCA또래어린이집","가정","서울특별시 구로구 구일로4길 46 203동 104호(구로동, 현대연예인아파트)","20","20"
"11181","선민어린이집","법인·단체등","서울특별시 관악구 대학10길 27 선민교회 2층 (신림동)  [대학동]","80","48"
"11182","예진어린이집","가정","경기도 용인시 기흥구 구갈로 71-18 102-101(신갈동, 기흥더프라임뷰)","20","20"
"11183","마곡사임당어린이집","민간","서울특별시 강서구 수명로2길 105 마곡수명산파크5단지 509동 관리동 마곡사임당어린이집","39","39"
"11184","동화나라어린이집","민간","충청북도 충주시 주봉2길 10 (교현동)","39","39"
"11185","아이사랑어린이집","가정","서울특별시 동대문구 사가정로 65 206동 104호 (전농1동, 래미안크레시티)","20","20"
"11186","다사랑어린이집","민간","제주특별자치도 제주시 광평안길 40-7 (노형동)","37","20"
"11187","두산어린이집","가정","서울특별시 구로구 도림로 59 105동 102호(구로동, 구로두산아파트)","19","19"
"11188","예은어린이집","민간","경상북도 경주시 동천로21번길 5  -3 예은어린이집","24","24"
"11189","예사랑꼬마숲어린이집","가정","경기도 구리시 이문안로 51 115돋 102호(교문동, 한성아파트 105-102)","19","17"
"11190","메르디앙어린이집","민간","대구광역시 수성구 노변로 55 월드메르디앙단지내(메르디앙어린이집) (노변동)","27","25"
"11191","현대사랑어린이집","가정","서울특별시 노원구 중계로8길 20 현대6차아파트 102동 103호(중계동)","19","12"
"11192","딸기어린이집","가정","서울특별시 노원구 마들로 111 15동 101호(월계동, 미성)","13","13"
"11193","키즈펀어린이집","가정","전라북도 완주군 봉동읍 둔산1로 130 207동 102호(둔산리, 전주첨단코아루2차)","19","19"
"11194","한나영어린이집","가정","인천광역시 부평구 육동로8번길 24 (부평동)","15","11"
"11195","이솝어린이집","가정","경상북도 상주시 성동1길 74 102동 103호(성동동, 경희아파트)","13","12"
"11196","키즈빌어린이집","민간","제주특별자치도 제주시 연신로 81-8 (이도이동)","92","90"
"11197","아이재미어린이집","가정","서울특별시 강동구 상일로 74 321동 101호(상일동490, 고덕리엔파크)","19","17"
"11198","베이비예영어린이집","가정","경기도 안양시 동안구 동안로 283 13동 107호(비산동, 뉴타운아파트)","20","20"
"11199","안디옥어린이집","민간","전라남도 완도군 완도읍 청해진서로 59","39","31"
"11200","한신어린이집","민간","충청남도 예산군 역전로160번길 16 (한신아파트 관리동 2층)","27","27"
"11201","우진어린이집","민간","경기도 이천시 대월면 대산로 123","276","156"
"11202","아진어린이집","가정","경상남도 김해시 율하2로 162 1309동 104호(율하동, 율현마을주공13단지아파트)","13","13"
"11203","썸머힐어린이집","민간","전라남도 나주시 건재로 130-5 썸머힐어린이집 (대호동)","150","135"
"11204","아기선교어린이집","가정","충청남도 논산시 중앙로260번길 59-5 104동 101호(취암동, 주공1단지아파트)","17","17"
"11205","다니엘어린이집","가정","부산광역시 사상구 학감대로 109-14 106동 101호(학장동, 신구덕우성)","20","20"
"11206","뽀뽀뽀어린이집","가정","전라북도 김제시 도작로 111 105동 105호(검산동, 부영)","11","9"
"11207","늘해랑어린이집","민간","강원도 횡성군 횡성읍 앞들서2로 34","33","28"
"11208","원광어린이집","법인·단체등","전라남도 영광군 영광읍 물무로2길 51","143","139"
"11209","동천마을어린이집","민간","광주광역시 북구 하남대로710번길 5 광주시 서구 하남대로 710번길5","24","23"
"11210","동남어린이집","법인·단체등","제주특별자치도 서귀포시 성산읍 고성오조로113번길 18","52","29"
"11211","꿈크는 어린이집","가정","경기도 광명시 금당로 13 607동 112호(하안동, 하안주공6단지아파트)","13","10"
"11212","올선 어린이집","가정","경상남도 창원시 진해구 해원로 29 101동 101호(석동, 진해석동우림필유)","19","19"
"11213","구름빵어린이집","가정","세종특별자치시  조치원읍 충현로 159 욱일 111-101","20","20"
"11214","아가맘어린이집","가정","경기도 성남시 중원구 도촌남로 22 117동 102호(도촌동, 휴먼시아섬마을아파트)","17","17"
"11215","미래어린이집","민간","충청남도 아산시 서부북로781번길 46 (남성리)","154","118"
"11216","별빛어린이집","가정","인천광역시 연수구 청능대로 175 109동 102호(연수동, 연수우성1차아파트)","20","11"
"11217","영남마루어린이집","가정","인천광역시 연수구 새말로 111 113동 106호(연수동, 영남아파트)","19","14"
"11218","유라어린이집","민간","대구광역시 서구 서대구로6길 31-2 (내당동)","38","27"
"11219","푸르미영재어린이집","가정","대전광역시 대덕구 동춘당로 160 103동 103호(법동, 삼익소월아파트)","19","16"
"11220","상계사임당어린이집","민간","서울특별시 노원구 동일로 1354 (상계동)","27","25"
"11221","에벤에셀 어린이집","민간","서울특별시 은평구 서오릉로21길 36 (구산동)","39","34"
"11222","사임당어린이집","민간","경기도 하남시 대청로59번길 15 한국아파트 내 관리동1층 사임당어린이집 (신장동)","38","37"
"11223","사랑나무어린이집","가정","경기도 파주시 책향기로 439 1009동 101호(동패동 동패리, 책향기마을동문굿모닝힐10단지아파트)","19","19"
"11224","꿈땅어린이집","민간","경기도 성남시 중원구 광명로323번길 16 (금광2동)","27","24"
"11225","아이꿈어린이집","가정","충청북도 청주시 흥덕구 죽천로146번길 3 102동 104호(복대동, 복대대원아파트)","20","19"
"11226","풍납사임당어린이집","가정","서울특별시 송파구 한가람로 468 102동 104호(풍납동, 신성노바빌아파트)","19","19"
"11227","유승어린이집","가정","강원도 원주시 강변로 117 106동 105호(단구동, 유승)","20","15"
"11228","사랑어린이집","민간","경기 남양주시 와부읍 덕소리 진도아파트 단지내 사랑어린이집","39","38"
"11229","도담어린이집","민간","경상남도 산청군 신안면 원지로 11-43","90","68"
"11230","동화속어린이집","가정","부산광역시 동래구 연안로 74 207동 103호(안락2동, 안락뜨란채2단지아파트)","19","19"
"11231","꿈나무놀이방","가정","전라남도 진도군 진도읍 남동3길 19","20","20"
"11232","동그라미어린이집","가정","경기도 구리시 동구릉로238번길 20 107동 110호(인창동, 한진그랑빌)","20","15"
"11233","동화나라어린이집","가정","충청북도 청주시 상당구 용암로 19 1105동 106호(용암동, 용암현대11단지아파트)","20","13"
"11234","꿈초롱어린이집","가정","경기도 구리시 동구릉로238번길 20 101동 106호(인창동, 한진그랑빌)","20","20"
"11235","해미리어린이집","민간","전라북도 전주시 덕진구 배미실마을길 18","99","98"
"11236","꽃사슴어린이집","가정","전라북도 전주시 덕진구 와룡2길 5 103동 105호(송천동2가, 솔내마을동아)","19","16"
"11237","나은어린이집","가정","전라북도 전주시 덕진구 석소로 77 109동 104호(인후동1가, 아중대우1차아파트)","19","19"
"11238","한빛어린이집","사회복지법인","전라북도 전주시 덕진구 와룡로 109-13","265","238"
"11239","덕진파랑새어린이집","민간","전라북도 전주시 덕진구 원반월안길 19-4","89","61"
"11240","튼튼아이어린이집","가정","강원도 춘천시 후석로 325 , 110동102호(후평동, 포스코더샵아파트)","19","19"
"11241","숲속가베어린이집","가정","전라북도 군산시 미장안길 55 203동 107호(미장동, 현대파인빌2차아파트)","20","20"
"11242","옹달샘어린이집","가정","서울특별시 도봉구 노해로70길 54 1902동 110호(창동, 상계주공19차아파트)","17","17"
"11243","은하수어린이집","가정","서울특별시 금천구 금하로 793 103동 101호(시흥동, 벽산아파트)","20","20"
"11244","디모데어린이집","가정","전라북도 전주시 완산구 새터로 95 101동 103호(서신동, 동아한일)","13","10"
"11245","소하어린이집","가정","서울특별시 관악구 관천로15길 116 (신림동)  [신사동]","15","15"
"11246","은샘어린이집","가정","울산광역시 동구 산록1길 7 (전하동)","20","20"
"11247","육영어린이집","민간","서울특별시 관악구 문성로16가길 42-3 (신림동)  [미성동]","49","49"
"11248","큰별어린이집","사회복지법인","전라북도 전주시 완산구 내원당길 70-15 (대성동)","84","64"
"11249","은보어린이집","가정","전라북도 전주시 덕진구 붓내3길 29 130동 103호(송천동2가, 주공아파트)","19","19"
"11250","천동어린이집","민간","서울특별시 강동구 성안로 194-1 (길동  373-19)","82","68"
"11251","예꼬어린이집","가정","경기도 광명시 금당로 11 606동 112호(하안동, 주공6단지아파트)","13","12"
"11252","예닮어린이집","민간","경기도 평택시 지산천로 34-12","23","17"
"11253","예촌어린이집","사회복지법인","전라북도 전주시 완산구 메너머3길 25-15 (중화산동2가)","48","47"
"11254","산호어린이집","가정","충청남도 서산시 인지면 둔당로 99 106동 104호(둔당리, 산호옥마을)","19","13"
"11255","천사어린이집","가정","경상북도 김천시 공절길 43 201동 102호(지좌동, 아주아트빌)","20","15"
"11256","은혜어린이집","민간","경기도 성남시 중원구 자혜로17번길 50 우리빌라101 (은행동)","24","18"
"11257","숲속 어린이집","민간","경기도 성남시 중원구 박석로 49 (상대원동)","34","25"
"11258","애플트리어린이집","가정","충청남도 당진시 고실1길 42 이안3차아파트 101-101호","19","15"
"11259","꽃다운어린이집","가정","경기도 이천시 아리역로 37 102동 102호(송정동, 이천송정현진에버빌1차아파트)","18","17"
"11260","한솔에듀케어어린이집","가정","인천광역시 부평구 원적로 361 207동 104호(산곡동, 한화2단지아파트)","20","20"
"11261","샛별어린이집","가정","대전광역시 중구 동서대로 1388 108동 103호(목동, 금호한사랑아파트)","19","15"
"11262","피노키오어린이집","가정","경상북도 칠곡군 석적읍 북중리3길 68 102동 101호(중리, 부영아파트)","13","13"
"11263","푸른꿈놀이방어린이집","가정","서울특별시 광진구 뚝섬로 702-11 (자양2동)","12","9"
"11264","꿈나무어린이집","민간","서울특별시 광진구 자양로 134 (구의동)","35","34"
"11265","미소영재어린이집","민간","충청북도 청주시 흥덕구 강서로1번길 70  -11","125","110"
"11266","아이킨더어린이집","민간","울산광역시 중구 신기12길 50 (태화동)","96","90"
"11267","중앙바다의별 어린이집","가정","경기도 파주시 후곡로 77 103동 101호(금촌동, 쇠재마을풍림아이원아파트)","20","14"
"11268","아망어린이집","가정","울산광역시 울주군 구영로 101-7 504동 104호(구영리, 구영2차 푸르지오)","19","19"
"11269","샤인어린이집","가정","강원도 원주시 현충로58번길 71 205동 105호(태장동, 성호샤인힐즈2차아파트)","17","16"
"11270","딸기어린이집","가정","대전광역시 동구 옥천로180번길 23 206동 102호(판암동, 주공아파트2단지)","11","8"
"11271","아이캐슬 어린이집","가정","전라북도 익산시 동서로 509 101동 102호(어양동, 익산자이)","20","19"
"11272","단비어린이집","가정","전라북도 익산시 궁동로 109 805동 104호(어양동, 주공8단지아파트)","14","12"
"11273","아이와숲어린이집","민간","전라북도 전주시 완산구 안행2길 26 단지내 (효자동1가, 대림)","28","20"
"11274","선한빛어린이집","가정","전라북도 군산시 미룡로 41 201동 101호(미룡동, 미룡주공2차아파트)","13","13"
"11275","고명어린이집","가정","경기도 고양시 일산동구 위시티4로 80 110동 101호(식사동, 위시티일산자이1단지아파트)","20","0"
"11276","베르디움어린이집","민간","광주광역시 서구 하남대로680번길 10 호반베르디움 관리동 1층","34","34"
"11277","묵동제일어린이집","법인·단체등","서울특별시 중랑구 동일로148가길 21 (묵동)","39","39"
"11278","추광어린이집","법인·단체등","제주특별자치도 제주시 추자면 대서3길 22-14 (추자면 대서리)","39","24"
"11279","대원꿈동산어린이집","민간","경기도 광명시 오리로975번길 17-7","49","42"
"11280","이솝어린이집","민간","인천광역시 연수구 옥련로99번길 42 아주아파트 관리동2층 (옥련동)","27","27"
"11281","꿈샘아이어린이집","가정","경상남도 창원시 마산회원구 내서읍 삼계1길 32 104동 103호(삼계리, 한우리아파트)","14","14"
"11282","은아어린이집","가정","경상남도 창원시 성산구 원이대로883번길 6 1동 104호(가음동, 성원은아아파트)","11","10"
"11283","혜림어린이집","국공립","서울특별시 강동구 천중로39길 77 (천호동47-23)","47","44"
"11284","다래어린이집","가정","서울특별시 강동구 양재대로130길 26 다성2차101호 (명일동 352-5 )","19","19"
"11285","생각주머니어린이집","가정","경기도 성남시 분당구 장미로 101 831동 104호(야탑동, 장미마을현대아파트)","20","20"
"11286","연산어린이집","민간","전라남도 목포시 원산로145번안길 3-4","48","47"
"11287","꼬마천국어린이집","가정","인천광역시 부평구 세월천로 16 110동 104호(청천동, 대우아파트)","20","20"
"11288","해뜨는어린이집","가정","경기도 성남시 수정구 태평로 67 4동 106호(태평동, 건우아파트)","10","10"
"11289","열매어린이집","가정","경기도 성남시 수정구 수정로 2 105동 105호(수진동, 삼정그린뷰)","19","18"
"11290","예쁜별키즈어린이집","가정","경상북도 포항시 북구 삼호로 391 105동 102호(환호동, 해맞이그린빌1단지)","20","16"
"11291","밤비니어린이집","민간","광주광역시 남구 노대실로 33 휴먼시아5단지내 (노대동)","32","26"
"11292","아이꿈예뜰어린이집","가정","경기도 용인시 기흥구 구성3로 65 301동101호(청덕동,휴먼시아물푸레마을3단지아파트)","19","19"
"11293","하늘꿈터어린이집","가정","경기도 안양시 만안구 충훈로 51 105동 102호(석수3동, 아이파크아파트)","19","16"
"11294","즐거운 어린이집","가정","전라남도 여수시 문수북5길 16 201동 107호(문수동, 부영2차)","20","19"
"11295","지혜숲어린이집","민간","경기도 수원시 장안구 연무로13번길 78","143","117"
"11296","하나로사랑담어린이집","민간","서울특별시 은평구 서오릉로 237","115","88"
"11297","다솜어린이집","민간","경기도 이천시 부발읍 황무로1605번길 108","173","116"
"11298","성모어린이집","직장","서울특별시 영등포구 63로 10","31","25"
"11299","아이들세상 어린이집","가정","서울특별시 성동구 난계로 67 101동 110호(하왕십리동, 극동미라주아파트)","20","20"
"11300","연수색동원어린이집","민간","인천광역시 연수구 독배로90번길 70-3","31","30"
"11301","한빛 어린이집","가정","서울특별시 성동구 행당로 79 110동 102호(행당동, 대림아파트)","20","18"
"11302","새봄 어린이집","민간","서울특별시 도봉구 도봉로147길 20 (방학동)","63","55"
"11303","곰돌이어린이집","가정","경기도 의왕시 부곡초등1길 5 뷰티개나리동 101호 (삼동)","16","16"
"11304","라온몬테소리 어린이집","가정","서울특별시 성동구 살곶이길 50 107동 101호(마장동, 현대아파트)","19","17"
"11305","꼬마어린이집","가정","부산광역시 기장군 기장읍 차성로344번길 13  한신아파트 108동 104호","20","10"
"11306","삼동어린이집","국공립","부산광역시 기장군 철마면 철마삼동로 80","82","77"
"11307","해맑은어린이집","민간","부산광역시 동래구 온천천로399번길 14 107동 101호(낙민동, 동원아파트)","37","37"
"11308","미래어린이집","민간","부산광역시 동래구 사직북로57번길 7 (사직2동)","72","55"
"11309","레이크파크어린이집","민간","경기도 수원시 영통구 광교호수로152번길 23 관리동(하동, 광교 LAKE PARK  한양수자인)","25","23"
"11310","중동어린이집","민간","경기도 부천시 원미구 중동로165번길 37 (중동)","75","73"
"11311","한내어린이집","가정","충청남도 천안시 동남구 터미널9길 31 106동 105호(신부동, 대림한내아파트)","18","17"
"11312","아이뜨레어린이집","가정","대구광역시 달서구 장산로 10 101동 101호(용산동, 용산1차서한화성타운아파트)","20","18"
"11313","자연숲어린이집","민간","경기도 안산시 단원구 새뿔길 55 C상가(신길동, 삼익아파트)","101","96"
"11314","리틀코야어린이집","가정","서울특별시 중랑구 중랑천로 20 8-107(면목동, 면목한신아파트)","19","11"
"11315","부영꼬망세어린이집","가정","경기도 평택시 안청로1길 92 508-103(부영5차아파트)","20","20"
"11316","부영꼬마또래어린이집","가정","충청북도 청주시 상당구 중흥로 173 중흥마을부영아파트 108-105","19","18"
"11317","사랑나무 어린이집","가정","서울특별시 성북구 오패산로3길 17 103동 103호(하월곡동, 동신아파트)","19","18"
"11318","아트어린이집","민간","경상북도 영주시 선비로187번길 13 (가흥동)","59","59"
"11319","푸른나무어린이집","가정","경기도 김포시 고촌읍 수기로 67-39 207동 103호(신곡리, 수기마을힐스테이트2단지)","20","20"
"11320","해피누리어린이집","민간","인천광역시 부평구 안남로206번길 37 (3층 건물전체) (산곡동)","187","172"
"11321","원광어린이집","법인·단체등","전라북도 무주군 무주읍 향학로 68","90","81"
"11322","고은어린이집","가정","경기도 부천시 오정구 오정로251번길 39 102동102호(오정동오정생활휴먼시아)","20","19"
"11323","사랑숲어린이집","가정","강원도 춘천시 지석로 29 , 521동102호(석사동, 휴먼타운아파트)","19","19"
"11324","양문어린이집","민간","서울특별시 양천구 신월로 109 (신월동)","110","110"
"11325","꿈꾸는어린이집","민간","충청남도 논산시 채운면 채운로431번길 6","44","30"
"11326","네잎클로버어린이집","민간","인천광역시 남동구 구월로 192 구월힐스테이트1단지아파트 관리동(구월동)","63","63"
"11327","흰돌어린이집","민간","울산광역시 동구 월봉6가길 3 (방어동)","75","67"
"11328","구립 상림마을어린이집","국공립","서울특별시 은평구 진관4로 48-17 709동 1층(진관동, 은평뉴타운상림마을7단지아파트)","40","38"
"11329","사랑샘어린이집","가정","충청북도 청주시 서원구 신성화로 8 308동 101호(성화동, 구룡산휴먼시아3단지)","20","17"
"11330","로즈웰어린이집","가정","충청북도 청주시 흥덕구 서현중로 48 102동 101호(가경동 가로수마을선광로즈웰아파트)","20","14"
"11331","굴화초등학교어린이집","직장","울산광역시 울주군 범서읍 굴화3길 30","48","45"
"11332","극동삐아제 어린이집","가정","경기도 남양주시 퇴계원면 퇴계원로 19","20","20"
"11333","정락어린이집","가정","서울특별시 송파구 문정로 55 104동 103호(문정동, 문정대우1차아파트)","13","12"
"11334","베베킹 어린이집","민간","대전광역시 동구 동서대로1683번길 33-22 (용전동)","38","28"
"11335","아이나라어린이집","민간","서울특별시 은평구 가좌로 212-6","23","23"
"11336","아이나라어린이집","가정","경기도 용인시 수지구 죽전로 87 432동 101호(죽전동, 꽃메마을현대홈타운4단지아파트)","20","20"
"11337","함초롱어린이집","민간","대구광역시 동구 반야월로 52 (용계동)","39","33"
"11338","풍림프뢰벨어린이집","가정","경기도 시흥시 월곶중앙로14번길 87 201동 101호(월곶동, 월곶동풍림2차아파트)","20","20"
"11339","나래어린이집","민간","서울특별시 도봉구 마들로 684-9","88","88"
"11340","푸르나임어린이집","가정","대구광역시 수성구 수성로75길 16 104동 102호(수성동1가, 유성푸르나임아파트)","20","20"
"11341","삼성산행복한어린이집","가정","서울특별시 관악구 호암로 399 309동 105호(신림동, 삼성산주공아파트)","19","19"
"11342","엄마품어린이집","가정","전라북도 익산시 궁동로 109 805동 102호(어양동, 주공8단지아파트)","14","13"
"11343","봉곡어린이집","민간","경상북도 구미시 봉곡로 71 (봉곡동)","45","19"
"11344","우리어린이집","민간","인천광역시 부평구 부평대로296번길 62 4층 (갈산동)","82","80"
"11345","미래클어린이집","민간","강원도 동해시 발한천윗길 30 (발한동)","62","62"
"11346","딩동댕어린이집","민간","서울특별시 은평구 가좌로 294","45","29"
"11347","둥지어린이집","가정","전라북도 익산시 무왕로26길 32 109동 104호(부송동, 동아)","20","12"
"11348","태양어린이집","민간","충청북도 충주시 칠금4길 18 (칠금동)","26","26"
"11349","운현어린이집","법인·단체등","서울특별시 종로구 삼일대로32길 31-8","51","51"
"11350","코끼리어린이집","민간","서울특별시 영등포구 가마산로61가길 14 (신길동)","99","96"
"11351","새나라영아전담어린이집","민간","경상북도 상주시 동문1길 46 (인봉동)","40","39"
"11352","은빛도담어린이집","국공립","인천광역시 남동구 용천로205번길 21 (간석동)","57","52"
"11353","미키몬테소리어린이집","민간","서울특별시 구로구 경인로 390 벽산블루밍아파트 관리동1층 미키몬테소리어린이집 (고척동)","64","58"
"11354","우림어린이집","민간","서울특별시 구로구 서해안로 2368 우림필유상가동 (오류동)","39","36"
"11355","강남대학교자매어린이집","민간","경기도 이천시 증신로25번길 69 강남대학교자매어린이집","41","32"
"11356","봄내어린이집","민간","경기도 남양주시 화도읍 마석로 48","67","67"
"11357","코닝정밀소재어린이집","직장","충청남도 아산시 탕정면 삼성로 287 탕정디스플레이시티 1","80","49"
"11358","예일어린이집","사회복지법인","제주특별자치도 서귀포시 중산간서로 20 (강정동)","114","114"
"11359","봄샘어린이집","민간","울산광역시 중구 평동3길 1 유곡푸르지오 관리동 (유곡동)","47","47"
"11360","해님달님어린이집","가정","서울특별시 구로구 중앙로6길 5-15 101동 104호(고척동, 청구아파트)","19","19"
"11361","우리세상어린이집","민간","경기도 안산시 상록구 부루지2길 26 (월피동)","69","68"
"11362","상록어린이집","민간","서울특별시 강남구 영동대로4길 10 공무원아파트 9단지내","44","44"
"11363","보배어린이집","가정","경기도 남양주시 늘을1로 270 1802동 101호(호평동, 호평마을한라비발디18단지아파트)","20","20"
"11364","주한울어린이집","가정","서울특별시 강남구 언주로 21 30동 103호(개포동, 시영)","9","8"
"11365","한양어린이집","가정","광주광역시 서구 월드컵4강로28번길 46 301동 103호(화정동, 한양아파트)","10","9"
"11366","우방미래어린이집","민간","대구광역시 달서구 용산로 160 (용산동, 우방죽전타운)","35","28"
"11367","지혜숲어린이집","민간","경기도 성남시 중원구 박석로25번길 6-17 (상대원동)","42","32"
"11368","별뜨랑어린이집","가정","경상남도 김해시 계동로102번길 24 408동 101호(대청동, 갑오마을부영4단지아파트)","18","18"
"11369","해사랑숲어린이집","민간","경기도 안성시 공도읍 진사길 32 주은청설아파트 관리동1층","27","24"
"11370","라온어린이집","가정","경기도 광명시 하안로 198 206동 101호(소하동, 동양2차아파트)","19","18"
"11371","엔젤어린이집","민간","경기도 부천시 오정구 삼작로516번길 1 (작동)","39","39"
"11372","사랑샘어린이집","민간","경기도 남양주시 오남읍 진건오남로884번길 22-48 성호아파트상가 101호 호,102호","39","23"
"11373","동양엔파트어린이집","민간","인천광역시 서구 솔빛로 13 동양엔파트 관리동","51","50"
"11374","웃음꽃어린이집","가정","광주광역시 남구 화산로 20 101동 101호(진월동, 대주퍼크빌)","19","19"
"11375","강동어린이집","민간","대구광역시 동구 율하서로 96 (율하동)","132","119"
"11376","동구청학운어린이집","국공립","광주광역시 동구 의재로43번길 6 (학동)","47","30"
"11377","하나놀이방","가정","서울 동작구 상도1동 411-2호","20","13"
"11378","예인아트어린이집","민간","인천광역시 남구 주안로50번길 30 예인아트어린이집","179","157"
"11379","하늘담은어린이집","가정","대전광역시 유성구 반석서로 98 608동 101호(반석동, 반석마을6단지아파트)","20","20"
"11380","홈타운어린이집","민간","경기도 이천시 구만리로 42 홈타운아파트 내관리동 (증일동)","27","26"
"11381","해성어린이집","민간","경상북도 포항시 북구 학전로 35 우방청운 관리동내","39","29"
"11382","아이꿈터어린이집","민간","서울특별시 성북구 화랑로32길 127-4","37","29"
"11383","신예랑어린이집","민간","서울특별시 영등포구 도신로54길 12-4","89","80"
"11384","키즈스쿨어린이집","민간","서울특별시 송파구 동남로 193 25동(가락동, 가락1차쌍용아파트)","145","141"
"11385","내또래어린이집","가정","서울특별시 송파구 새말로8길 12 102동 101호(문정동, 건영아파트)","19","19"
"11386","경선어린이집","민간","전라남도 광양시 광양읍 인서4길 7","55","36"
"11387","꼬마궁전어린이집","가정","경기도 안산시 단원구 당곡2로 30 909-104(고잔동, 주공아파트)","14","13"
"11388","이매진어린이집","가정","경기도 성남시 분당구 양현로94번길 12 503동 105호(이매동, 이매촌동부코오롱아파트)","20","20"
"11389","키큰나무어린이집","가정","경기도 의정부시 신촌로 18-7 101동 101호(가능동, SK뷰아파트)","20","20"
"11390","미소짓는어린이집","가정","대전광역시 서구 관저서로 20 912동 104호 (관저동, 구봉마을9단지)","15","15"
"11391","은하수어린이집","가정","경상남도 창원시 성산구 반송로 159 209동 101호(반림동, 현대2차아파트)","20","11"
